FFFF FFFF FFFF FFFF FFFF FFFF#1635662792560965#-62.0#3.5465635815916023#1
0000 0023 2000 0000 0000 0000#1635662792667329#-43.0#1.7916895602504288#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662792668380#-62.5#3.448388811166921#1
0000 0025 2000 0000 0000 0000#1635662792669920#-40.0#1.7241944055834606#1
0000 0020 2000 0000 0000 0000#1635662792674501#-41.0#2.60776733940559#1
0000 0022 2000 0000 0000 0000#1635662792675618#-42.0#2.6875343403756435#1
0000 0025 2000 0000 0000 0000#1635662792679866#-40.0#1.7119225592803755#1
0000 0022 2000 0000 0000 0000#1635662792682359#-42.0#2.6813984172241008#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662792683638#-63.0#3.5465635815916023#1
0000 0026 2000 0000 0000 0000#1635662792684693#-36.5#1.3621749396424494#1
0000 0021 2000 0000 0000 0000#1635662792686199#-41.0#2.552544031041707#1
0000 002B 2000 0000 0000 0000#1635662792687493#-49.0#3.117048960983623#1
0000 002A 2000 0000 0000 0000#1635662792689962#-48.0#2.4605051837685683#1
0000 0020 2000 0000 0000 0000#1635662792691549#-41.0#2.6139032625571326#1
0000 002C 2000 0000 0000 0000#1635662792693342#-50.5#3.5588354278946874#1
0000 0023 2000 0000 0000 0000#1635662792696222#-43.5#1.8100973297050567#1
0000 001F 2000 0000 0000 0000#1635662792697309#-45.0#3.56497135104623#1
0000 001E 2000 0000 0000 0000#1635662792699119#-48.5#4.190835512503572#1
0000 0024 2000 0000 0000 0000#1635662792700145#-41.0#1.6873788666742053#1
0000 0027 2000 0000 0000 0000#1635662792702631#-41.5#1.6137477888556946#1
0000 0028 2000 0000 0000 0000#1635662792703726#-43.0#2.1537090261914402#1
0000 0029 2000 0000 0000 0000#1635662792706989#-45.5#2.3009711818284617#1
0000 0020 2000 0000 0000 0000#1635662792711991#-41.0#2.6016314162540475#1
0000 0021 2000 0000 0000 0000#1635662792714399#-41.0#2.5586799541932495#1
0000 002C 2000 0000 0000 0000#1635662792715468#-50.0#3.56497135104623#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662792716535#-62.5#3.56497135104623#1
0000 0025 2000 0000 0000 0000#1635662792717576#-40.0#1.7119225592803755#1
0000 0024 2000 0000 0000 0000#1635662792719193#-41.0#1.6873788666742053#1
0000 002A 2000 0000 0000 0000#1635662792720784#-48.5#2.454369260617026#1
0000 0026 2000 0000 0000 0000#1635662792722842#-36.5#1.368310862793992#1
0000 0027 2000 0000 0000 0000#1635662792724278#-41.5#1.607611865704152#1
0000 0028 2000 0000 0000 0000#1635662792725317#-42.5#2.1353012567368124#1
0000 0023 2000 0000 0000 0000#1635662792726375#-43.0#1.8100973297050567#1
0000 0022 2000 0000 0000 0000#1635662792727451#-42.5#2.675262494072558#1
0000 0029 2000 0000 0000 0000#1635662792728691#-45.5#2.3009711818284617#1
0000 001F 2000 0000 0000 0000#1635662792730619#-45.0#3.5895150436524004#1
0000 002B 2000 0000 0000 0000#1635662792731899#-49.5#3.117048960983623#1
0000 001E 2000 0000 0000 0000#1635662792733338#-48.5#4.178563666200486#1
0000 001E 2000 0000 0000 0000#1635662792738556#-49.0#4.178563666200486#1
0000 0023 2000 0000 0000 0000#1635662792740518#-43.0#1.8100973297050567#1
0000 0026 2000 0000 0000 0000#1635662792741587#-36.5#1.368310862793992#1
0000 0028 2000 0000 0000 0000#1635662792742860#-42.5#2.1475731030398975#1
0000 0027 2000 0000 0000 0000#1635662792743940#-41.5#1.6137477888556946#1
0000 002C 2000 0000 0000 0000#1635662792745982#-50.5#3.5895150436524004#1
0000 0022 2000 0000 0000 0000#1635662792747043#-42.5#2.693670263527186#1
0000 001F 2000 0000 0000 0000#1635662792748101#-44.5#3.5711072741977725#1
0000 0025 2000 0000 0000 0000#1635662792749485#-40.0#1.718058482431918#1
0000 0021 2000 0000 0000 0000#1635662792750664#-41.0#2.552544031041707#1
0000 0020 2000 0000 0000 0000#1635662792752948#-41.0#2.6139032625571326#1
0000 002A 2000 0000 0000 0000#1635662792754039#-48.0#2.466641106920111#1
0000 0029 2000 0000 0000 0000#1635662792756367#-45.5#2.2886993355253766#1
0000 0024 2000 0000 0000 0000#1635662792757450#-40.5#1.6935147898257479#1
0000 002B 2000 0000 0000 0000#1635662792760640#-49.5#3.117048960983623#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662792761804#-62.5#3.5342917352885173#1
0000 0025 2000 0000 0000 0000#1635662792767428#-40.0#1.7119225592803755#1
0000 0027 2000 0000 0000 0000#1635662792768477#-41.5#1.6198837120072371#1
0000 0024 2000 0000 0000 0000#1635662792769533#-41.0#1.6812429435226628#1
0000 0028 2000 0000 0000 0000#1635662792770601#-43.0#2.141437179888355#1
0000 0026 2000 0000 0000 0000#1635662792772097#-36.5#1.3621749396424494#1
0000 0023 2000 0000 0000 0000#1635662792773412#-43.0#1.8100973297050567#1
0000 0022 2000 0000 0000 0000#1635662792774443#-42.0#2.6875343403756435#1
0000 002C 2000 0000 0000 0000#1635662792775723#-50.5#3.552699504743145#1
0000 0021 2000 0000 0000 0000#1635662792777498#-41.0#2.564815877344792#1
0000 002B 2000 0000 0000 0000#1635662792778793#-49.5#3.11091303783208#1
0000 001E 2000 0000 0000 0000#1635662792780119#-48.5#4.196971435655114#1
0000 0029 2000 0000 0000 0000#1635662792781384#-45.5#2.313243028131547#1
0000 0020 2000 0000 0000 0000#1635662792782892#-41.0#2.6139032625571326#1
0000 001F 2000 0000 0000 0000#1635662792783981#-45.0#3.5711072741977725#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662792785334#-62.5#3.5342917352885173#1
0000 002A 2000 0000 0000 0000#1635662792789874#-48.0#2.4605051837685683#1
0000 0021 2000 0000 0000 0000#1635662792796763#-41.0#2.5586799541932495#1
0000 0026 2000 0000 0000 0000#1635662792797803#-36.5#1.368310862793992#1
0000 0025 2000 0000 0000 0000#1635662792799107#-40.0#1.7241944055834606#1
0000 002C 2000 0000 0000 0000#1635662792801908#-50.0#3.5465635815916023#1
0000 001E 2000 0000 0000 0000#1635662792803489#-49.0#4.172427743048944#1
0000 002B 2000 0000 0000 0000#1635662792804511#-49.5#3.141592653589793#1
0000 0028 2000 0000 0000 0000#1635662792806447#-43.0#2.1230294104337273#1
0000 0024 2000 0000 0000 0000#1635662792807501#-41.0#1.6996507129772904#1
0000 0022 2000 0000 0000 0000#1635662792808559#-42.5#2.675262494072558#1
0000 001F 2000 0000 0000 0000#1635662792809605#-45.0#3.5772431973493153#1
0000 0020 2000 0000 0000 0000#1635662792810614#-41.0#2.6139032625571326#1
