方形标签叠放实验， 拟合出错误顺序
speed   : 2
epc_type: 0
epc     : 0001 - 0007
order   : 0001 - 0007
0000 0002 0000 0000 0000 0000#1624777724213065#-49.0#5.080544369477243#1
E200 001B 2014 0200 1580 ACEC#1624777724215920#-66.0#4.822835597112456#1
E200 001B 2014 0164 1580 8A56#1624777724217039#-65.5#5.209398755659637#1
0000 0005 0000 0000 0000 0000#1624777724479877#-51.5#1.6505633277649499#1
0000 0003 0000 0000 0000 0000#1624777724481436#-59.5#5.927301764390117#1
0000 0006 0000 0000 0000 0000#1624777724482503#-48.0#0.1043106935762236#1
0000 0001 0000 0000 0000 0000#1624777724484556#-53.0#6.117515382087937#1
E200 001B 2014 0195 1580 B13D#1624777724487453#-64.5#5.964117303299373#1
E200 001B 2014 0164 1580 8A56#1624777724488604#-67.5#5.878214379177777#1
0000 0007 0000 0000 0000 0000#1624777724489672#-39.5#4.454680208019902#1
0000 0004 0000 0000 0000 0000#1624777724492251#-56.5#1.3621749396424494#1
0000 0002 0000 0000 0000 0000#1624777724498213#-50.0#5.5284667595398505#1
E200 001B 2014 0200 1580 ACEC#1624777724501224#-66.0#5.516194913236766#1
0000 0004 0000 0000 0000 0000#1624777724505001#-56.5#1.3437671701878218#1
E200 001B 2014 0200 1580 ACEC#1624777724506115#-66.0#5.559146375297564#1
E200 001B 2014 0195 1580 B13D#1624777724507194#-65.0#6.080699843178682#1
E200 001B 2014 0164 1580 8A56#1624777724509484#-68.0#5.964117303299373#1
0000 0002 0000 0000 0000 0000#1624777724511281#-50.0#5.534602682691394#1
0000 0007 0000 0000 0000 0000#1624777724512894#-39.5#4.454680208019902#1
0000 0006 0000 0000 0000 0000#1624777724514719#-48.0#0.11044661672776616#1
0000 0001 0000 0000 0000 0000#1624777724516773#-52.5#6.1850105367549055#1
0000 0005 0000 0000 0000 0000#1624777724518419#-51.0#1.6382914814618648#1
0000 0003 0000 0000 0000 0000#1624777724521659#-59.5#5.957981380147831#1
0000 0005 0000 0000 0000 0000#1624777724795861#-51.0#0.9633399347921826#1
E200 001B 2014 0164 1580 8A56#1624777724796956#-65.0#4.878058905476339#1
0000 0006 0000 0000 0000 0000#1624777724798010#-47.5#5.620505606812989#1
0000 0001 0000 0000 0000 0000#1624777724799082#-52.0#5.436427912266712#1
0000 0007 0000 0000 0000 0000#1624777724800182#-40.5#3.933126740138784#1
E200 001B 2014 0200 1580 ACEC#1624777724801796#-65.0#4.473087977474529#1
0000 0003 0000 0000 0000 0000#1624777724802898#-58.5#5.338253141842031#1
0000 0002 0000 0000 0000 0000#1624777724804725#-49.0#4.896466674930966#1
E200 001B 2014 0195 1580 B13D#1624777724806487#-64.0#4.896466674930966#1
0000 0004 0000 0000 0000 0000#1624777724809186#-56.5#0.6013204688511713#1
0000 0001 0000 0000 0000 0000#1624777724815211#-52.0#5.436427912266712#1
0000 0002 0000 0000 0000 0000#1624777724816297#-49.0#4.884194828627882#1
0000 0003 0000 0000 0000 0000#1624777724817657#-59.0#5.313709449235861#1
0000 0006 0000 0000 0000 0000#1624777724819423#-47.5#5.6143696836614465#1
0000 0005 0000 0000 0000 0000#1624777724820491#-51.0#0.9265243958829272#1
0000 0004 0000 0000 0000 0000#1624777724822045#-56.5#0.6565437772150544#1
0000 0007 0000 0000 0000 0000#1624777724823118#-40.5#3.9208548938356986#1
E200 001B 2014 0200 1580 ACEC#1624777724826424#-65.5#4.3933209765044765#1
E200 001B 2014 0195 1580 B13D#1624777724827491#-64.5#4.8351074434155406#1
E200 001B 2014 0164 1580 8A56#1624777724828569#-65.5#4.853515212870168#1
0000 0003 0000 0000 0000 0000#1624777725090733#-60.0#6.166602767300278#1
0000 0007 0000 0000 0000 0000#1624777725092487#-39.5#4.583534594202296#1
0000 0001 0000 0000 0000 0000#1624777725093515#-53.5#6.270913460876501#1
0000 0002 0000 0000 0000 0000#1624777725096483#-50.0#5.608233760509904#1
E200 001B 2014 0164 1580 8A56#1624777725098722#-66.5#0.3620194659410113#1
0000 0004 0000 0000 0000 0000#1624777725099833#-56.0#1.564660403643354#1
0000 0005 0000 0000 0000 0000#1624777725102413#-51.5#1.8100973297050567#1
E200 001B 2014 0195 1580 B13D#1624777725103522#-63.5#6.215690152512618#1
E200 001B 2014 0200 1580 ACEC#1624777725104609#-64.5#6.043884304269426#1
0000 0006 0000 0000 0000 0000#1624777725105721#-48.0#0.3129320807286708#1
0000 0007 0000 0000 0000 0000#1624777725119860#-39.5#4.583534594202296#1
0000 0003 0000 0000 0000 0000#1624777725121446#-60.5#6.19728238305799#1
E200 001B 2014 0200 1580 ACEC#1624777725122788#-65.0#6.013204688511713#1
E200 001B 2014 0195 1580 B13D#1624777725123924#-62.5#6.234097921967246#1
0000 0001 0000 0000 0000 0000#1624777725125236#-53.0#6.277049384028044#1
0000 0005 0000 0000 0000 0000#1624777725126801#-51.0#1.8285050991596843#1
0000 0006 0000 0000 0000 0000#1624777725127900#-48.0#0.30066023442558565#1
0000 0002 0000 0000 0000 0000#1624777725129028#-50.0#5.64504929941916#1
0000 0004 0000 0000 0000 0000#1624777725131898#-56.5#1.552388557340269#1
E200 001B 2014 0164 1580 8A56#1624777725133304#-65.5#0.5092816215780329#1
0000 0007 0000 0000 0000 0000#1624777725396190#-39.5#4.331961744989051#1
E200 001B 2014 0200 1580 ACEC#1624777725397533#-65.5#5.442563835418255#1
0000 0006 0000 0000 0000 0000#1624777725399230#-48.0#6.2034183062095325#1
E200 001B 2014 0164 1580 8A56#1624777725400351#-65.5#5.884350302329319#1
0000 0001 0000 0000 0000 0000#1624777725401721#-52.5#5.93343768754166#1
0000 0005 0000 0000 0000 0000#1624777725402832#-51.5#1.4910293258248433#1
0000 0003 0000 0000 0000 0000#1624777725415758#-58.0#5.553010452146021#1
0000 0002 0000 0000 0000 0000#1624777725417101#-49.0#5.098952138931871#1
E200 001B 2014 0195 1580 B13D#1624777725418463#-63.0#5.246214294568893#1
0000 0004 0000 0000 0000 0000#1624777725419550#-56.0#0.8160777791551611#1
0000 0004 0000 0000 0000 0000#1624777725425288#-56.0#0.8528933180644165#1
0000 0005 0000 0000 0000 0000#1624777725426385#-50.5#1.1596894756415448#1
