方形标签叠放实验， 拟合出正确顺序
speed   : 2
epc_type: 0
epc     : 0001 - 0007
order   : 0001 - 0007
0000 0006 0000 0000 0000 0000#1624774539393241#-61.0#2.791845033951867#1
9999 33B2 DDD9 0140 0000 0000#1624774539394457#-62.0#1.7794177139473437#1
E200 001B 2014 0164 1580 8A56#1624774539398572#-69.5#5.111223985234957#1
9999 33B2 DDD9 0140 0000 0000#1624774539400982#-62.5#1.8653206380689396#1
0000 0002 0000 0000 0000 0000#1624774539402169#-54.5#1.0492428589137786#1
0000 0004 0000 0000 0000 0000#1624774539403253#-50.0#4.270602513473625#1
0000 0003 0000 0000 0000 0000#1624774539404861#-63.0#2.3316507975861747#1
0000 0007 0000 0000 0000 0000#1624774539406415#-43.0#6.105243535784852#1
0000 0006 0000 0000 0000 0000#1624774539407655#-61.0#2.9759227284981438#1
0000 0005 0000 0000 0000 0000#1624774539408753#-57.0#5.448699758569798#1
0000 0001 0000 0000 0000 0000#1624774539410038#-66.5#5.418020142812084#1
0000 0006 0000 0000 0000 0000#1624774539672781#-57.5#5.577554144752192#1
0000 0004 0000 0000 0000 0000#1624774539674360#-48.0#5.810719224510809#1
3008 33B2 DDD9 0140 2018 0626#1624774539675674#-56.5#0.34974761963792617#1
0000 0001 0000 0000 0000 0000#1624774539677490#-60.5#4.417864669110647#1
E200 001B 2014 0164 1580 8A56#1624774539679537#-71.5#5.7616318392984684#1
0000 0007 0000 0000 0000 0000#1624774539680850#-41.5#1.055378782065321#1
0000 0005 0000 0000 0000 0000#1624774539681931#-54.5#0.7485826244881929#1
0000 0003 0000 0000 0000 0000#1624774539682994#-62.0#4.693981210930062#1
3008 33B2 DDD9 0140 2018 0626#1624774539685771#-57.5#1.043106935762236#1
0000 0002 0000 0000 0000 0000#1624774539689255#-66.0#2.804116880254952#1
9999 33B2 DDD9 0140 0000 0000#1624774539691696#-61.5#3.11091303783208#1
0000 0004 0000 0000 0000 0000#1624774539696380#-48.0#5.8659425328746915#1
E200 001B 2014 0164 1580 8A56#1624774539697503#-71.0#5.8045833013592665#1
0000 0002 0000 0000 0000 0000#1624774539707222#-65.0#2.497320722677824#1
3008 33B2 DDD9 0140 2018 0626#1624774539708685#-58.0#6.227961998815704#1
0000 0005 0000 0000 0000 0000#1624774539710537#-53.0#0.44178646691106466#1
0000 0007 0000 0000 0000 0000#1624774539712090#-42.0#0.8406214717613314#1
0000 0001 0000 0000 0000 0000#1624774539715507#-66.0#4.264466590322082#1
9999 33B2 DDD9 0140 0000 0000#1624774539718153#-61.5#2.552544031041707#1
0000 0006 0000 0000 0000 0000#1624774539719406#-58.0#4.9394181369917645#1
0000 0003 0000 0000 0000 0000#1624774539721591#-60.0#4.473087977474529#1
0000 0002 0000 0000 0000 0000#1624774539983567#-63.5#2.8654761117703775#1
0000 0005 0000 0000 0000 0000#1624774539985159#-50.0#0.662679700366597#1
3008 33B2 DDD9 0140 2018 0626#1624774539986266#-58.0#5.853670686571607#1
0000 0003 0000 0000 0000 0000#1624774539987392#-56.0#4.896466674930966#1
9999 33B2 DDD9 0140 0000 0000#1624774539989661#-62.5#2.1659808724945253#1
E200 001B 2014 0164 1580 8A56#1624774539994204#-70.0#4.816699673960914#1
0000 0006 0000 0000 0000 0000#1624774539995316#-55.0#4.865787059173254#1
0000 0007 0000 0000 0000 0000#1624774539996473#-40.5#1.0799224746714913#1
0000 0004 0000 0000 0000 0000#1624774539997780#-45.5#5.6573211457222445#1
0000 0006 0000 0000 0000 0000#1624774540003668#-54.0#4.871922982324796#1
0000 0005 0000 0000 0000 0000#1624774540005616#-50.0#0.6994952392758523#1
0000 0003 0000 0000 0000 0000#1624774540006692#-55.0#4.933282213840222#1
0000 0004 0000 0000 0000 0000#1624774540009051#-45.0#5.681864838328415#1
0000 0002 0000 0000 0000 0000#1624774540011739#-63.5#2.9759227284981438#1
0000 0007 0000 0000 0000 0000#1624774540013709#-41.0#1.1106020904292042#1
9999 33B2 DDD9 0140 0000 0000#1624774540015033#-62.0#2.116893487282185#1
3008 33B2 DDD9 0140 2018 0626#1624774540016482#-58.0#5.8045833013592665#1
E200 001B 2014 0164 1580 8A56#1624774540017647#-70.0#4.614214209960009#1
0000 0005 0000 0000 0000 0000#1624774540281149#-49.0#1.7119225592803755#1
9999 33B2 DDD9 0140 0000 0000#1624774540282509#-62.0#2.8961557275280905#1
3008 33B2 DDD9 0140 2018 0626#1624774540283781#-57.0#0.11658253987930872#1
E200 001B 2014 0164 1580 8A56#1624774540285120#-70.5#5.3627968344482015#1
0000 0004 0000 0000 0000 0000#1624774540286427#-44.0#0.380427235395639#1
0000 0007 0000 0000 0000 0000#1624774540287770#-40.0#1.9144080232812801#1
0000 0003 0000 0000 0000 0000#1624774540289101#-53.0#5.964117303299373#1
0000 0006 0000 0000 0000 0000#1624774540291293#-50.0#6.227961998815704#1
0000 0002 0000 0000 0000 0000#1624774540292983#-61.5#4.448544284868359#1
0000 0006 0000 0000 0000 0000#1624774540298436#-50.5#6.2463697682703305#1
E200 001B 2014 0164 1580 8A56#1624774540300897#-71.0#5.448699758569798#1
0000 0007 0000 0000 0000 0000#1624774540302354#-39.5#1.932815792735908#1
0000 0003 0000 0000 0000 0000#1624774540303425#-53.5#5.988660995905543#1
0000 0004 0000 0000 0000 0000#1624774540304510#-44.0#0.4111068511533518#1
3008 33B2 DDD9 0140 2018 0626#1624774540305793#-58.0#0.8160777791551611#1
9999 33B2 DDD9 0140 0000 0000#1624774540306912#-61.5#2.9084275738311756#1
3008 33B2 DDD9 0140 2018 0626#1624774540308253#-57.0#0.11044661672776616#1
0000 0005 0000 0000 0000 0000#1624774540309407#-48.5#1.7794177139473437#1
0000 0002 0000 0000 0000 0000#1624774540310496#-61.0#4.546719055293041#1
0000 0004 0000 0000 0000 0000#1624774540581485#-43.5#0.11658253987930872#1
0000 0002 0000 0000 0000 0000#1624774540585090#-58.0#4.595806440505381#1
