长条形标签叠放实验， 拟合出正确顺序
peed   : 2
epc_type: 2
epc     : 000f - 0015
order   : 000f - 0015
0000 0013 2000 0000 0000 0000#1624798113645139#-52.5#4.92714629068868#1
0000 0011 2000 0000 0000 0000#1624798113646468#-62.5#2.5586799541932495#1
0000 0012 2000 0000 0000 0000#1624798113649577#-60.5#6.277049384028044#1
0000 0010 2000 0000 0000 0000#1624798113651198#-55.0#4.663301595172349#1
3008 33B2 DDD9 0140 2018 0626#1624798113652795#-57.0#5.080544369477243#1
0000 0014 2000 0000 0000 0000#1624798113654977#-53.0#4.620350133111551#1
0000 000F 2000 0000 0000 0000#1624798113656026#-53.0#5.890486225480862#1
E200 001B 2014 0201 1580 B140#1624798113657602#-62.5#3.933126740138784#1
0000 0015 2000 0000 0000 0000#1624798113660360#-63.5#3.9822141253511245#1
0000 0014 2000 0000 0000 0000#1624798113664415#-52.5#4.663301595172349#1
0000 0012 2000 0000 0000 0000#1624798113665488#-61.5#6.234097921967246#1
3008 33B2 DDD9 0140 2018 0626#1624798113666830#-56.5#5.098952138931871#1
0000 0013 2000 0000 0000 0000#1624798113668394#-52.5#4.896466674930966#1
0000 0010 2000 0000 0000 0000#1624798113669412#-57.0#4.681709364626977#1
0000 000F 2000 0000 0000 0000#1624798113671655#-53.0#5.8659425328746915#1
0000 0015 2000 0000 0000 0000#1624798113674171#-63.5#4.031301510563465#1
E200 001B 2014 0201 1580 B140#1624798113676799#-62.5#3.865631585471816#1
0000 0011 2000 0000 0000 0000#1624798113678682#-62.5#2.5034566458293663#1
0000 000F 2000 0000 0000 0000#1624798113951324#-53.0#0.1043106935762236#1
0000 0014 2000 0000 0000 0000#1624798113953123#-51.5#5.049864753719531#1
3008 33B2 DDD9 0140 2018 0626#1624798113954697#-58.0#4.9823695990525625#1
3008 33B2 DDD9 0140 2018 0626#1624798113956285#-56.0#5.712544454086128#1
0000 0012 2000 0000 0000 0000#1624798113958872#-59.5#0.36815538909255385#1
0000 0013 2000 0000 0000 0000#1624798113960194#-52.0#5.3627968344482015#1
0000 0011 2000 0000 0000 0000#1624798113962284#-62.0#2.816388726558037#1
E200 001B 2014 0201 1580 B140#1624798113963360#-62.0#4.9394181369917645#1
0000 0015 2000 0000 0000 0000#1624798113964379#-62.5#4.466952054322987#1
E200 001B 2014 0201 1580 B140#1624798113969282#-62.0#4.847379289718626#1
0000 0010 2000 0000 0000 0000#1624798113971049#-56.5#5.111223985234957#1
0000 0011 2000 0000 0000 0000#1624798113972418#-60.5#2.804116880254952#1
3008 33B2 DDD9 0140 2018 0626#1624798113975952#-56.0#5.749359992995383#1
0000 000F 2000 0000 0000 0000#1624798113977242#-53.5#0.11044661672776616#1
0000 0012 2000 0000 0000 0000#1624798113978544#-59.5#0.4111068511533518#1
3008 33B2 DDD9 0140 2018 0626#1624798113980583#-57.5#5.013049214810275#1
0000 0015 2000 0000 0000 0000#1624798113982816#-62.5#4.565126824747668#1
0000 0013 2000 0000 0000 0000#1624798113984209#-52.0#5.381204603902829#1
0000 0014 2000 0000 0000 0000#1624798113985532#-51.5#5.123495831538041#1
0000 0010 2000 0000 0000 0000#1624798114248629#-56.5#4.7860200582032#1
E200 001B 2014 0201 1580 B140#1624798114249773#-62.0#4.301282129231338#1
0000 000F 2000 0000 0000 0000#1624798114253876#-53.0#6.074563920027139#1
0000 0013 2000 0000 0000 0000#1624798114255030#-52.0#5.092816215780329#1
0000 0012 2000 0000 0000 0000#1624798114256104#-60.0#0.11044661672776616#1
0000 0014 2000 0000 0000 0000#1624798114257171#-52.0#4.828971520263998#1
0000 0011 2000 0000 0000 0000#1624798114258865#-62.0#2.6261751088602177#1
0000 0015 2000 0000 0000 0000#1624798114260016#-62.5#4.264466590322082#1
3008 33B2 DDD9 0140 2018 0626#1624798114261368#-56.5#5.338253141842031#1
E200 001B 2014 0201 1580 B140#1624798114267062#-62.0#4.344233591292136#1
0000 0013 2000 0000 0000 0000#1624798114268454#-52.0#5.098952138931871#1
0000 0011 2000 0000 0000 0000#1624798114270224#-61.5#2.6384469551633027#1
0000 000F 2000 0000 0000 0000#1624798114272434#-53.0#6.074563920027139#1
0000 0012 2000 0000 0000 0000#1624798114273449#-60.0#0.1227184630308513#1
0000 0015 2000 0000 0000 0000#1624798114275027#-63.0#4.289010282928253#1
3008 33B2 DDD9 0140 2018 0626#1624798114276352#-56.5#5.387340527054372#1
0000 0014 2000 0000 0000 0000#1624798114277532#-52.0#4.828971520263998#1
0000 0010 2000 0000 0000 0000#1624798114278804#-56.5#4.773748211900116#1
0000 0012 2000 0000 0000 0000#1624798114542587#-59.5#0.23930100291016002#1
0000 0014 2000 0000 0000 0000#1624798114543780#-51.5#5.019185137961818#1
0000 0010 2000 0000 0000 0000#1624798114545546#-56.5#4.945554060143307#1
3008 33B2 DDD9 0140 2018 0626#1624798114546912#-58.0#4.878058905476339#1
0000 0013 2000 0000 0000 0000#1624798114549352#-52.0#5.283029833478148#1
0000 0015 2000 0000 0000 0000#1624798114550687#-62.5#4.362641360746763#1
0000 000F 2000 0000 0000 0000#1624798114552021#-53.5#6.209554229361076#1
3008 33B2 DDD9 0140 2018 0626#1624798114553115#-57.0#5.559146375297564#1
0000 0011 2000 0000 0000 0000#1624798114554190#-61.0#2.742757648739526#1
E200 001B 2014 0201 1580 B140#1624798114555908#-62.5#4.552854978444583#1
E200 001B 2014 0201 1580 B140#1624798114561489#-62.5#4.411728745959104#1
0000 0011 2000 0000 0000 0000#1624798114562729#-60.0#2.718213956133356#1
0000 0013 2000 0000 0000 0000#1624798114564294#-51.5#5.264622064023521#1
3008 33B2 DDD9 0140 2018 0626#1624798114565385#-58.0#4.9394181369917645#1
0000 0014 2000 0000 0000 0000#1624798114566891#-51.5#4.988505522204105#1
3008 33B2 DDD9 0140 2018 0626#1624798114569199#-56.5#5.608233760509904#1
0000 0010 2000 0000 0000 0000#1624798114570368#-55.0#4.914874444385594#1
0000 000F 2000 0000 0000 0000#1624798114571445#-53.5#6.22182607566416#1
0000 0015 2000 0000 0000 0000#1624798114572565#-62.5#4.270602513473625#1
0000 0012 2000 0000 0000 0000#1624798114574093#-59.5#0.3129320807286708#1
0000 0014 2000 0000 0000 0000#1624798114838427#-52.5#4.71238898038469#1
0000 0012 2000 0000 0000 0000#1624798114840536#-60.0#6.264777537724958#1
0000 000F 2000 0000 0000 0000#1624798114843194#-53.0#5.927301764390117#1
0000 0015 2000 0000 0000 0000#1624798114845264#-63.0#4.06811704947272#1
0000 0011 2000 0000 0000 0000#1624798114846337#-61.5#2.454369260617026#1
0000 0013 2000 0000 0000 0000#1624798114847631#-52.0#4.9823695990525625#1
0000 0010 2000 0000 0000 0000#1624798114849961#-56.5#4.6448938257177215#1
E200 001B 2014 0201 1580 B140#1624798114853319#-62.5#4.190835512503572#1
0000 0011 2000 0000 0000 0000#1624798114858396#-62.0#2.4175537217077703#1
0000 0015 2000 0000 0000 0000#1624798114861095#-63.5#4.074252972624263#1
0000 0010 2000 0000 0000 0000#1624798114862234#-55.0#4.632621979414636#1
0000 000F 2000 0000 0000 0000#1624798114863810#-52.5#5.878214379177777#1
0000 0014 2000 0000 0000 0000#1624798114865645#-52.0#4.718524903536232#1
0000 0013 2000 0000 0000 0000#1624798114866712#-52.0#4.97623367590102#1
0000 0012 2000 0000 0000 0000#1624798114870670#-60.0#6.264777537724958#1
E200 001B 2014 0201 1580 B140#1624798114871763#-63.0#3.9822141253511245#1
0000 0015 2000 0000 0000 0000#1624798115134019#-62.5#4.552854978444583#1
