长条形标签叠放实验， 拟合出正确顺序
speed   : 2.5
epc_type: 2
epc     : 000f - 0015
order   : 000f - 0015
0000 0010 2000 0000 0000 0000#1624798410779777#-52.0#4.025165587411922#1
0000 000F 2000 0000 0000 0000#1624798410785083#-48.5#5.148039524144211#1
3008 33B2 DDD9 0140 2018 0626#1624798410788941#-56.0#3.6876898140770815#1
0000 0013 2000 0000 0000 0000#1624798410789978#-49.0#4.871922982324796#1
0000 0014 2000 0000 0000 0000#1624798410791076#-45.0#4.479223900626073#1
0000 0011 2000 0000 0000 0000#1624798410792778#-57.5#2.086213871524472#1
0000 0012 2000 0000 0000 0000#1624798410798524#-55.5#6.080699843178682#1
3008 33B2 DDD9 0140 2018 0626#1624798410799987#-56.0#3.693825737228624#1
0000 0013 2000 0000 0000 0000#1624798410801791#-49.0#4.865787059173254#1
0000 0010 2000 0000 0000 0000#1624798410803681#-52.0#4.049709280018092#1
0000 0015 2000 0000 0000 0000#1624798410804701#-56.0#4.09266074207889#1
0000 000F 2000 0000 0000 0000#1624798410805734#-48.5#5.141903600992669#1
E200 001B 2014 0164 1580 8A56#1624798410807030#-64.0#5.780039608753096#1
0000 0011 2000 0000 0000 0000#1624798410808073#-57.5#2.0923497946760143#1
0000 0014 2000 0000 0000 0000#1624798410809140#-45.0#4.485359823777615#1
0000 0010 2000 0000 0000 0000#1624798411071980#-52.0#3.736777199289422#1
0000 0014 2000 0000 0000 0000#1624798411075356#-45.5#4.190835512503572#1
0000 0013 2000 0000 0000 0000#1624798411076434#-50.5#4.565126824747668#1
0000 0012 2000 0000 0000 0000#1624798411078001#-56.0#5.749359992995383#1
0000 000F 2000 0000 0000 0000#1624798411079588#-48.5#4.816699673960914#1
E200 001B 2014 0164 1580 8A56#1624798411083677#-65.5#5.45483568172134#1
0000 0015 2000 0000 0000 0000#1624798411084810#-57.0#3.706097583531709#1
3008 33B2 DDD9 0140 2018 0626#1624798411085941#-57.5#3.184544115650591#1
0000 0011 2000 0000 0000 0000#1624798411087233#-57.5#1.8714565612204823#1
E200 001B 2014 0201 1580 B140#1624798411089222#-63.5#1.8775924843720249#1
