长条形标签叠放实验， 拟合出正确顺序
speed   : 3
epc_type: 2
epc     : 000f - 0015
order   : 000f - 0015
0000 0015 2000 0000 0000 0000#1624798502145350#-63.0#4.147884050442774#1
0000 0011 2000 0000 0000 0000#1624798502148065#-61.0#3.399301425954581#1
0000 0013 2000 0000 0000 0000#1624798502153811#-55.0#5.2339424482658075#1
0000 0010 2000 0000 0000 0000#1624798502155168#-55.0#4.884194828627882#1
0000 0015 2000 0000 0000 0000#1624798502157527#-62.5#4.1172044346850605#1
0000 0014 2000 0000 0000 0000#1624798502159706#-53.0#4.859651136021712#1
0000 0012 2000 0000 0000 0000#1624798502160994#-63.0#0.607456392002714#1
0000 000F 2000 0000 0000 0000#1624798502162524#-52.5#6.17273869045182#1
0000 0011 2000 0000 0000 0000#1624798502164685#-61.0#3.313398501832985#1
0C21 0537 8123 1003 2202 062F#1624798502165784#-68.0#1.6014759425526093#1
0000 0011 2000 0000 0000 0000#1624798502428873#-61.5#3.6447383520162835#1
0000 0013 2000 0000 0000 0000#1624798502431748#-54.0#5.6143696836614465#1
0000 0010 2000 0000 0000 0000#1624798502433744#-54.0#5.301437602932776#1
0000 000F 2000 0000 0000 0000#1624798502435150#-52.0#0.4111068511533518#1
0000 0014 2000 0000 0000 0000#1624798502436231#-52.0#5.264622064023521#1
0000 0012 2000 0000 0000 0000#1624798502440475#-62.0#0.8958447801252144#1
0000 0015 2000 0000 0000 0000#1624798502441512#-62.0#4.583534594202296#1
0000 0015 2000 0000 0000 0000#1624798502446114#-62.0#4.565126824747668#1
0000 000F 2000 0000 0000 0000#1624798502449510#-52.0#0.4172427743048944#1
0000 0010 2000 0000 0000 0000#1624798502451381#-55.5#5.307573526084319#1
0000 0012 2000 0000 0000 0000#1624798502452443#-62.0#0.7363107781851077#1
0000 0011 2000 0000 0000 0000#1624798502453791#-61.5#3.7429131224409646#1
0000 0013 2000 0000 0000 0000#1624798502455467#-54.0#5.620505606812989#1
0000 0014 2000 0000 0000 0000#1624798502458019#-52.0#5.264622064023521#1
0000 0014 2000 0000 0000 0000#1624798502719374#-52.5#4.994641445355648#1
0000 000F 2000 0000 0000 0000#1624798502722003#-52.0#0.04295146206079795#1
0000 0015 2000 0000 0000 0000#1624798502723297#-62.0#4.362641360746763#1
0000 0011 2000 0000 0000 0000#1624798502724851#-60.5#3.509748042682347#1
0000 0012 2000 0000 0000 0000#1624798502726184#-63.0#0.5829126993965437#1
0000 0010 2000 0000 0000 0000#1624798502730114#-53.5#5.00077736850719#1
0000 0013 2000 0000 0000 0000#1624798502732282#-55.0#5.332117218690489#1
0000 0014 2000 0000 0000 0000#1624798502737946#-52.5#5.0253210611133605#1
0000 0011 2000 0000 0000 0000#1624798502740359#-61.0#3.485204350076177#1
